log_mean_total_interactions	mean_percentage	mean_total_interactions
3.12057393120585	47.536012130401815	1319.0
2.694605198933569	42.10526315789473	494.0
2.586587304671755	31.948051948051948	385.0
2.56702636615906	57.88043478260869	368.0
2.161368002234975	32.63888888888889	144.0
2.110589710299249	42.1875	128.0
1.8864907251724818	23.684210526315788	76.0
1.863322860120456	34.72222222222222	72.0
1.8512583487190752	25.71428571428571	70.0
1.8388490907372552	50.0	68.0
1.7781512503836436	38.983050847457626	59.0
1.7634279935629373	40.35087719298245	57.0
1.7160033436347992	29.411764705882355	51.0
1.6901960800285136	35.41666666666667	48.0
1.6720978579357175	41.30434782608695	46.0
1.6232492903979006	12.195121951219512	41.0
1.5797835966168101	54.054054054054056	37.0
1.568201724066995	55.55555555555556	36.0
1.5314789170422551	24.24242424242424	33.0
1.505149978319906	29.03225806451613	31.0
1.4913616938342726	13.333333333333334	30.0
1.4771212547196624	41.37931034482759	29.0
1.462397997898956	42.85714285714285	28.0
1.4313637641589874	53.84615384615385	26.0
1.3979400086720377	25.0	24.0
1.380211241711606	26.08695652173913	23.0
1.380211241711606	34.78260869565217	23.0
1.3617278360175928	40.909090909090914	22.0
1.3424226808222062	28.57142857142857	21.0
1.3424226808222062	57.14285714285714	21.0
1.3222192947339193	20.0	20.0
1.3010299956639813	36.84210526315789	19.0
1.3010299956639813	26.31578947368421	19.0
1.3010299956639813	47.368421052631575	19.0
1.255272505103306	5.88235294117647	17.0
1.255272505103306	41.17647058823529	17.0
1.2041199826559248	46.66666666666666	15.0
1.2041199826559248	13.333333333333334	15.0
1.1760912590556813	50.0	14.0
1.1760912590556813	42.85714285714285	14.0
1.1139433523068367	66.66666666666666	12.0
1.0791812460476249	36.36363636363637	11.0
1.041392685158225	20.0	10.0
1.041392685158225	30.0	10.0
1.0	11.11111111111111	9.0
0.9542425094393249	37.5	8.0
0.9542425094393249	12.5	8.0
0.9030899869919435	14.285714285714285	7.0
0.9030899869919435	14.285714285714285	7.0
0.9030899869919435	42.85714285714285	7.0
0.8450980400142568	33.33333333333333	6.0
0.8450980400142568	16.666666666666664	6.0
0.8450980400142568	33.33333333333333	6.0
0.8450980400142568	16.666666666666664	6.0
0.8450980400142568	16.666666666666664	6.0
0.7781512503836436	40.0	5.0
0.7781512503836436	20.0	5.0
0.7781512503836436	0.0	5.0
0.7781512503836436	0.0	5.0
0.7781512503836436	60.0	5.0
0.7781512503836436	20.0	5.0
0.6989700043360189	50.0	4.0
0.6989700043360189	75.0	4.0
0.6989700043360189	50.0	4.0
0.6989700043360189	50.0	4.0
0.6989700043360189	50.0	4.0
0.6989700043360189	50.0	4.0
0.6989700043360189	0.0	4.0
0.6020599913279624	0.0	3.0
0.6020599913279624	33.33333333333333	3.0
0.6020599913279624	33.33333333333333	3.0
0.6020599913279624	33.33333333333333	3.0
0.6020599913279624	66.66666666666666	3.0
0.6020599913279624	0.0	3.0
0.6020599913279624	66.66666666666666	3.0
0.6020599913279624	66.66666666666666	3.0
0.6020599913279624	0.0	3.0
0.6020599913279624	33.33333333333333	3.0
0.47712125471966244	0.0	2.0
0.47712125471966244	0.0	2.0
0.47712125471966244	0.0	2.0
0.47712125471966244	50.0	2.0
0.47712125471966244	50.0	2.0
0.47712125471966244	50.0	2.0
0.47712125471966244	0.0	2.0
0.47712125471966244	100.0	2.0
0.3010299956639812	0.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	100.0	1.0
0.3010299956639812	100.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	100.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	100.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	100.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	100.0	1.0
0.3010299956639812	0.0	1.0
0.3010299956639812	100.0	1.0
