"Gene_ID","Cluster_ID"
"1",4244
"2",4243
"3",4238
"4",4235
"5",4234
"6",4233
"7",4232
"8",4231
"9",4227
"10",4243
"11",4242
"12",4224
"13",4223
"14",4222
"15",4221
"16",4220
"17",4210
"18",4209
"19",4208
"20",4206
"21",4205
"22",4204
"23",4203
"24",4202
"25",4201
"26",4200
"27",4199
"28",4194
"29",4193
"30",4192
"31",4190
"32",4189
"33",4187
"34",4184
"35",4183
"36",4182
"37",4181
"38",4180
"39",4179
"40",4178
"41",4174
"42",4169
"43",4168
"44",4167
"45",4166
"46",4163
"47",4162
"48",4161
"49",4160
"50",4159
"51",4158
"52",4157
"53",4155
"54",4154
"55",4153
"56",4152
"57",4150
"58",4149
"59",4148
"60",4147
"61",4146
"62",4145
"63",4144
"64",4143
"65",4141
"66",4140
"67",4139
"68",4137
"69",4136
"70",4132
"71",4131
"72",4130
"73",4129
"74",4128
"75",4127
"76",4126
"77",4125
"78",4124
"79",4123
"80",4122
"81",4121
"82",4120
"83",4156
"84",4119
"85",4118
"86",4116
"87",4115
"88",4114
"89",4113
"90",4112
"91",4111
"92",4110
"93",4109
"94",4108
"95",4107
"96",4106
"97",4105
"98",4104
"99",4103
"100",4102
"101",4101
"102",4100
"103",4099
"104",4098
"105",4097
"106",4095
"107",4094
"108",4093
"109",4092
"110",4091
"111",4090
"112",4088
"113",4087
"114",4086
"115",4085
"116",4083
"117",4081
"118",4080
"119",4079
"120",4078
"121",4077
"122",4076
"123",4075
"124",4074
"125",4073
"126",4072
"127",4071
"128",4070
"129",4069
"130",4068
"131",4067
"132",4066
"133",4065
"134",4063
"135",4062
"136",4061
"137",4060
"138",4059
"139",4058
"140",4056
"141",4055
"142",4054
"143",4053
"144",4052
"145",4051
"146",4151
"147",4049
"148",4048
"149",4047
"150",4046
"151",4045
"152",4044
"153",4043
"154",4041
"155",4040
"156",4039
"157",4038
"158",4037
"159",4036
"160",4035
"161",4034
"162",4033
"163",4032
"164",4031
"165",4030
"166",4029
"167",4028
"168",4027
"169",4026
"170",4025
"171",4023
"172",4021
"173",4019
"174",4018
"175",4016
"176",4015
"177",4014
"178",4013
"179",4011
"180",4010
"181",4008
"182",4007
"183",4006
"184",4005
"185",4004
"186",4003
"187",4002
"188",4001
"189",3986
"190",3984
"191",3983
"192",3982
"193",4221
"194",3981
"195",3980
"196",3979
"197",3978
"198",3977
"199",3976
"200",3975
"201",3974
"202",3973
"203",3972
"204",3971
"205",3970
"206",3969
"207",3968
"208",3967
"209",3966
"210",3936
"211",3928
"212",3927
"213",3926
"214",3925
"215",3924
"216",3923
"217",3921
"218",3920
"219",3919
"220",3917
"221",3916
"222",3915
"223",3914
"224",3913
"225",3912
"226",4158
"227",3911
"228",3910
"229",3909
"230",3908
"231",3907
"232",3906
"233",3905
"234",3904
"235",3903
"236",3902
"237",3922
"238",3901
"239",3900
"240",3899
"241",3897
"242",3896
"243",3895
"244",3894
"245",3893
"246",3892
"247",3891
"248",4196
"249",3890
"250",3887
"251",4125
"252",3886
"253",3884
"254",3881
"255",3880
"256",3879
"257",3878
"258",3877
"259",3876
"260",3875
"261",3874
"262",3873
"263",3872
"264",3871
"265",3870
"266",3869
"267",3868
"268",3867
"269",3866
"270",3865
"271",3864
"272",3862
"273",3861
"274",3859
"275",3858
"276",3857
"277",3856
"278",3855
"279",3854
"280",3852
"281",3850
"282",3849
"283",3847
"284",3845
"285",3844
"286",3843
"287",3842
"288",3841
"289",3840
"290",3839
"291",3838
"292",3836
"293",3834
"294",3950
"295",3831
"296",3830
"297",3829
"298",3828
"299",3827
"300",3826
"301",3825
"302",3824
"303",3820
"304",3818
"305",3817
"306",3816
"307",3815
"308",3814
"309",3813
"310",3812
"311",3811
"312",3810
"313",3809
"314",3807
"315",3806
"316",3805
"317",3804
"318",3803
"319",3802
"320",3801
"321",3800
"322",3799
"323",3798
"324",3797
"325",3796
"326",3795
"327",3794
"328",3793
"329",3792
"330",3791
"331",3790
"332",3789
"333",3788
"334",3785
"335",3784
"336",3783
"337",3782
"338",3781
"339",3780
"340",3779
"341",3778
"342",3777
"343",3776
"344",3775
"345",3774
"346",3773
"347",3772
"348",3770
"349",3769
"350",3768
"351",3767
"352",3765
"353",3764
"354",3763
"355",3762
"356",4172
"357",3761
"358",3760
"359",3759
"360",3758
"361",3757
"362",3756
"363",3755
"364",3754
"365",3753
"366",3752
"367",3751
"368",3937
"369",3750
"370",3749
"371",3748
"372",3747
"373",3746
"374",3745
"375",3744
"376",3743
"377",3742
"378",3740
"379",3739
"380",3738
"381",3736
"382",3735
"383",3734
"384",4207
"385",3732
"386",3963
"387",3731
"388",3730
"389",3729
"390",3728
"391",3727
"392",3726
"393",3725
"394",3724
"395",3723
"396",3722
"397",3721
"398",3720
"399",3719
"400",3718
"401",3717
"402",3716
"403",3715
"404",3714
"405",3713
"406",3705
"407",3696
"408",3695
"409",3693
"410",3692
"411",3691
"412",3690
"413",3689
"414",3688
"415",3930
"416",3687
"417",3686
"418",3685
"419",3684
"420",3683
"421",3682
"422",3681
"423",3680
"424",3679
"425",3678
"426",3677
"427",3675
"428",3674
"429",3673
"430",3672
"431",3671
"432",3670
"433",3669
"434",3668
"435",3667
"436",3894
"437",4185
"438",3662
"439",3661
"440",3660
"441",3659
"442",3658
"443",4176
"444",3657
"445",3656
"446",3655
"447",3654
"448",3653
"449",3652
"450",3651
"451",3650
"452",3649
"453",3648
"454",3647
"455",3646
"456",3645
"457",3644
"458",3643
"459",3642
"460",3641
"461",3640
"462",3639
"463",3638
"464",3637
"465",3697
"466",3636
"467",3635
"468",3634
"469",3633
"470",3631
"471",3630
"472",3629
"473",3628
"474",3627
"475",3626
"476",3625
"477",3624
"478",3623
"479",3852
"480",3622
"481",3621
"482",3620
"483",3619
"484",3618
"485",3617
"486",3616
"487",3615
"488",3614
"489",3613
"490",3612
"491",3611
"492",3610
"493",3609
"494",3608
"495",3607
"496",3606
"497",4050
"498",3605
"499",3604
"500",3603
"501",3601
"502",3600
"503",3599
"504",3598
"505",3592
"506",3591
"507",3590
"508",3859
"509",4243
"510",3589
"511",3588
"512",3587
"513",3586
"514",3585
"515",3584
"516",3583
"517",3582
"518",3581
"519",3580
"520",3579
"521",3578
"522",3577
"523",3593
"524",3647
"525",3576
"526",3575
"527",3574
"528",3573
"529",3572
"530",3571
"531",3570
"532",3569
"533",3567
"534",3566
"535",3565
"536",3564
"537",3563
"538",3562
"539",3561
"540",3560
"541",3559
"542",3558
"543",3556
"544",3555
"545",3554
"546",3551
"547",3550
"548",3549
"549",3548
"550",3547
"551",3546
"552",3545
"553",3544
"554",3543
"555",3542
"556",3541
"557",3540
"558",3539
"559",3538
"560",3537
"561",3536
"562",3535
"563",3534
"564",3533
"565",3532
"566",3531
"567",3530
"568",3529
"569",3528
"570",3527
"571",3526
"572",3525
"573",3524
"574",3523
"575",3522
"576",3521
"577",3520
"578",3519
"579",3518
"580",3517
"581",3515
"582",3514
"583",3512
"584",4243
"585",3508
"586",3503
